종목코드,야후코드,회사명,시장구분
A282330,282330.KS,BGF리테일,kospi200
A138930,138930.KS,BNK금융지주,kospi200
A001040,001040.KS,CJ,kospi200
A079160,079160.KS,CJ CGV,kospi200
A000120,000120.KS,CJ대한통운,kospi200
A097950,097950.KS,CJ제일제당,kospi200
A005830,005830.KS,DB손해보험,kospi200
A000990,000990.KS,DB하이텍,kospi200
A000210,000210.KS,DL,kospi200
A375500,375500.KS,DL이앤씨,kospi200
A114090,114090.KS,GKL,kospi200
A078930,078930.KS,GS,kospi200
A006360,006360.KS,GS건설,kospi200
A007070,007070.KS,GS리테일,kospi200
A294870,294870.KS,HDC현대산업개발,kospi200
A011200,011200.KS,HMM,kospi200
A105560,105560.KS,KB금융,kospi200
A002380,002380.KS,KCC,kospi200
A016380,016380.KS,KG동부제철,kospi200
A030200,030200.KS,KT,kospi200
A033780,033780.KS,KT&G,kospi200
A003550,003550.KS,LG,kospi200
A034220,034220.KS,LG디스플레이,kospi200
A051900,051900.KS,LG생활건강,kospi200
A032640,032640.KS,LG유플러스,kospi200
A011070,011070.KS,LG이노텍,kospi200
A066570,066570.KS,LG전자,kospi200
A051910,051910.KS,LG화학,kospi200
A079550,079550.KS,LIG넥스원,kospi200
A006260,006260.KS,LS,kospi200
A010120,010120.KS,LS ELECTRIC,kospi200
A001120,001120.KS,LX인터내셔널,kospi200
A035420,035420.KS,NAVER,kospi200
A005940,005940.KS,NH투자증권,kospi200
A010060,010060.KS,OCI,kospi200
A178920,178920.KS,PI첨단소재,kospi200
A005490,005490.KS,POSCO,kospi200
A010950,010950.KS,S-Oil,kospi200
A034730,034730.KS,SK,kospi200
A011790,011790.KS,SKC,kospi200
A001740,001740.KS,SK네트웍스,kospi200
A006120,006120.KS,SK디스커버리,kospi200
A302440,302440.KS,SK바이오사이언스,kospi200
A326030,326030.KS,SK바이오팜,kospi200
A402340,402340.KS,SK스퀘어,kospi200
A361610,361610.KS,SK아이이테크놀로지,kospi200
A096770,096770.KS,SK이노베이션,kospi200
A285130,285130.KS,SK케미칼,kospi200
A017670,017670.KS,SK텔레콤,kospi200
A000660,000660.KS,SK하이닉스,kospi200
A064960,064960.KS,SNT모티브,kospi200
A035250,035250.KS,강원랜드,kospi200
A010130,010130.KS,고려아연,kospi200
A011780,011780.KS,금호석유,kospi200
A073240,073240.KS,금호타이어,kospi200
A000270,000270.KS,기아,kospi200
A024110,024110.KS,기업은행,kospi200
A002350,002350.KS,넥센타이어,kospi200
A251270,251270.KS,넷마블,kospi200
A006280,006280.KS,녹십자,kospi200
A005250,005250.KS,녹십자홀딩스,kospi200
A004370,004370.KS,농심,kospi200
A001680,001680.KS,대상,kospi200
A047040,047040.KS,대우건설,kospi200
A042660,042660.KS,대우조선해양,kospi200
A003090,003090.KS,대웅,kospi200
A069620,069620.KS,대웅제약,kospi200
A006650,006650.KS,대한유화,kospi200
A001440,001440.KS,대한전선,kospi200
A003490,003490.KS,대한항공,kospi200
A192080,192080.KS,더블유게임즈,kospi200
A001230,001230.KS,동국제강,kospi200
A026960,026960.KS,동서,kospi200
A049770,049770.KS,동원F&B,kospi200
A006040,006040.KS,동원산업,kospi200
A014820,014820.KS,동원시스템즈,kospi200
A000150,000150.KS,두산,kospi200
A241560,241560.KS,두산밥캣,kospi200
A034020,034020.KS,두산중공업,kospi200
A336260,336260.KS,두산퓨얼셀,kospi200
A032350,032350.KS,롯데관광개발,kospi200
A023530,023530.KS,롯데쇼핑,kospi200
A004000,004000.KS,롯데정밀화학,kospi200
A004990,004990.KS,롯데지주,kospi200
A005300,005300.KS,롯데칠성,kospi200
A011170,011170.KS,롯데케미칼,kospi200
A204320,204320.KS,만도,kospi200
A138040,138040.KS,메리츠금융지주,kospi200
A008560,008560.KS,메리츠증권,kospi200
A009900,009900.KS,명신산업,kospi200
A006800,006800.KS,미래에셋증권,kospi200
A003850,003850.KS,보령제약,kospi200
A003000,003000.KS,부광약품,kospi200
A006400,006400.KS,삼성SDI,kospi200
A028260,028260.KS,삼성물산,kospi200
A207940,207940.KS,삼성바이오로직스,kospi200
A032830,032830.KS,삼성생명,kospi200
A018260,018260.KS,삼성에스디에스,kospi200
A028050,028050.KS,삼성엔지니어링,kospi200
A009150,009150.KS,삼성전기,kospi200
A005930,005930.KS,삼성전자,kospi200
A010140,010140.KS,삼성중공업,kospi200
A016360,016360.KS,삼성증권,kospi200
A029780,029780.KS,삼성카드,kospi200
A000810,000810.KS,삼성화재,kospi200
A000070,000070.KS,삼양홀딩스,kospi200
A004490,004490.KS,세방전지,kospi200
A068270,068270.KS,셀트리온,kospi200
A004170,004170.KS,신세계,kospi200
A031430,031430.KS,신세계인터내셔날,kospi200
A019170,019170.KS,신풍제약,kospi200
A055550,055550.KS,신한지주,kospi200
A003410,003410.KS,쌍용C&E,kospi200
A112610,112610.KS,씨에스윈드,kospi200
A002790,002790.KS,아모레G,kospi200
A090430,090430.KS,아모레퍼시픽,kospi200
A020560,020560.KS,아시아나항공,kospi200
A010780,010780.KS,아이에스동서,kospi200
A005850,005850.KS,에스엘,kospi200
A012750,012750.KS,에스원,kospi200
A036570,036570.KS,엔씨소프트,kospi200
A111770,111770.KS,영원무역,kospi200
A003520,003520.KS,영진약품,kospi200
A000670,000670.KS,영풍,kospi200
A007310,007310.KS,오뚜기,kospi200
A271560,271560.KS,오리온,kospi200
A001800,001800.KS,오리온홀딩스,kospi200
A316140,316140.KS,우리금융지주,kospi200
A000100,000100.KS,유한양행,kospi200
A139480,139480.KS,이마트,kospi200
A020150,020150.KS,일진머티리얼즈,kospi200
A030000,030000.KS,제일기획,kospi200
A185750,185750.KS,종근당,kospi200
A013890,013890.KS,지누스,kospi200
A035720,035720.KS,카카오,kospi200
A323410,323410.KS,카카오뱅크,kospi200
A377300,377300.KS,카카오페이,kospi200
A192820,192820.KS,코스맥스,kospi200
A120110,120110.KS,코오롱인더,kospi200
A021240,021240.KS,코웨이,kospi200
A192400,192400.KS,쿠쿠홀딩스,kospi200
A284740,284740.KS,쿠쿠홈시스,kospi200
A259960,259960.KS,크래프톤,kospi200
A039490,039490.KS,키움증권,kospi200
A003240,003240.KS,태광산업,kospi200
A028670,028670.KS,팬오션,kospi200
A047050,047050.KS,포스코인터내셔널,kospi200
A003670,003670.KS,포스코케미칼,kospi200
A103140,103140.KS,풍산,kospi200
A086790,086790.KS,하나금융지주,kospi200
A352820,352820.KS,하이브,kospi200
A000080,000080.KS,하이트진로,kospi200
A036460,036460.KS,한국가스공사,kospi200
A071050,071050.KS,한국금융지주,kospi200
A000240,000240.KS,한국앤컴퍼니,kospi200
A015760,015760.KS,한국전력,kospi200
A009540,009540.KS,한국조선해양,kospi200
A161890,161890.KS,한국콜마,kospi200
A161390,161390.KS,한국타이어앤테크놀로지,kospi200
A047810,047810.KS,한국항공우주,kospi200
A008930,008930.KS,한미사이언스,kospi200
A128940,128940.KS,한미약품,kospi200
A009240,009240.KS,한샘,kospi200
A020000,020000.KS,한섬,kospi200
A105630,105630.KS,한세실업,kospi200
A014680,014680.KS,한솔케미칼,kospi200
A018880,018880.KS,한온시스템,kospi200
A009420,009420.KS,한올바이오파마,kospi200
A051600,051600.KS,한전KPS,kospi200
A052690,052690.KS,한전기술,kospi200
A180640,180640.KS,한진칼,kospi200
A000880,000880.KS,한화,kospi200
A088350,088350.KS,한화생명,kospi200
A009830,009830.KS,한화솔루션,kospi200
A272210,272210.KS,한화시스템,kospi200
A012450,012450.KS,한화에어로스페이스,kospi200
A000720,000720.KS,현대건설,kospi200
A005440,005440.KS,현대그린푸드,kospi200
A086280,086280.KS,현대글로비스,kospi200
A042670,042670.KS,현대두산인프라코어,kospi200
A064350,064350.KS,현대로템,kospi200
A012330,012330.KS,현대모비스,kospi200
A010620,010620.KS,현대미포조선,kospi200
A069960,069960.KS,현대백화점,kospi200
A017800,017800.KS,현대엘리베이,kospi200
A011210,011210.KS,현대위아,kospi200
A004020,004020.KS,현대제철,kospi200
A329180,329180.KS,현대중공업,kospi200
A267250,267250.KS,현대중공업지주,kospi200
A005380,005380.KS,현대차,kospi200
A001450,001450.KS,현대해상,kospi200
