,종목코드,회사명
0,282330.KS,BGF리테일
1,138930.KS,BNK금융지주
2,001040.KS,CJ
3,079160.KS,CJ CGV
4,000120.KS,CJ대한통운
5,097950.KS,CJ제일제당
6,005830.KS,DB손해보험
7,000990.KS,DB하이텍
8,000210.KS,DL
9,375500.KS,DL이앤씨
10,114090.KS,GKL
11,078930.KS,GS
12,006360.KS,GS건설
13,007070.KS,GS리테일
14,294870.KS,HDC현대산업개발
15,011200.KS,HMM
16,105560.KS,KB금융
17,002380.KS,KCC
18,016380.KS,KG동부제철
19,030200.KS,KT
20,033780.KS,KT&G
21,003550.KS,LG
22,034220.KS,LG디스플레이
23,051900.KS,LG생활건강
24,032640.KS,LG유플러스
25,011070.KS,LG이노텍
26,066570.KS,LG전자
27,051910.KS,LG화학
28,079550.KS,LIG넥스원
29,006260.KS,LS
30,010120.KS,LS ELECTRIC
31,001120.KS,LX인터내셔널
32,035420.KS,NAVER
33,005940.KS,NH투자증권
34,010060.KS,OCI
35,178920.KS,PI첨단소재
36,005490.KS,POSCO
37,010950.KS,S-Oil
38,034730.KS,SK
39,011790.KS,SKC
40,001740.KS,SK네트웍스
41,006120.KS,SK디스커버리
42,302440.KS,SK바이오사이언스
43,326030.KS,SK바이오팜
44,402340.KS,SK스퀘어
45,361610.KS,SK아이이테크놀로지
46,096770.KS,SK이노베이션
47,285130.KS,SK케미칼
48,017670.KS,SK텔레콤
49,000660.KS,SK하이닉스
50,064960.KS,SNT모티브
51,035250.KS,강원랜드
52,010130.KS,고려아연
53,011780.KS,금호석유
54,073240.KS,금호타이어
55,000270.KS,기아
56,024110.KS,기업은행
57,002350.KS,넥센타이어
58,251270.KS,넷마블
59,006280.KS,녹십자
60,005250.KS,녹십자홀딩스
61,004370.KS,농심
62,001680.KS,대상
63,047040.KS,대우건설
64,042660.KS,대우조선해양
65,003090.KS,대웅
66,069620.KS,대웅제약
67,006650.KS,대한유화
68,001440.KS,대한전선
69,003490.KS,대한항공
70,192080.KS,더블유게임즈
71,001230.KS,동국제강
72,026960.KS,동서
73,049770.KS,동원F&B
74,006040.KS,동원산업
75,014820.KS,동원시스템즈
76,000150.KS,두산
77,241560.KS,두산밥캣
78,034020.KS,두산중공업
79,336260.KS,두산퓨얼셀
80,032350.KS,롯데관광개발
81,023530.KS,롯데쇼핑
82,004000.KS,롯데정밀화학
83,004990.KS,롯데지주
84,005300.KS,롯데칠성
85,011170.KS,롯데케미칼
86,204320.KS,만도
87,138040.KS,메리츠금융지주
88,008560.KS,메리츠증권
89,009900.KS,명신산업
90,006800.KS,미래에셋증권
91,003850.KS,보령제약
92,003000.KS,부광약품
93,006400.KS,삼성SDI
94,028260.KS,삼성물산
95,207940.KS,삼성바이오로직스
96,032830.KS,삼성생명
97,018260.KS,삼성에스디에스
98,028050.KS,삼성엔지니어링
99,009150.KS,삼성전기
100,005930.KS,삼성전자
101,010140.KS,삼성중공업
102,016360.KS,삼성증권
103,029780.KS,삼성카드
104,000810.KS,삼성화재
105,000070.KS,삼양홀딩스
