,종목코드,회사명
106,004490.KS,세방전지
107,068270.KS,셀트리온
108,004170.KS,신세계
109,031430.KS,신세계인터내셔날
110,019170.KS,신풍제약
111,055550.KS,신한지주
112,003410.KS,쌍용C&E
113,112610.KS,씨에스윈드
114,002790.KS,아모레G
115,090430.KS,아모레퍼시픽
116,020560.KS,아시아나항공
117,010780.KS,아이에스동서
118,005850.KS,에스엘
119,012750.KS,에스원
120,036570.KS,엔씨소프트
121,111770.KS,영원무역
122,003520.KS,영진약품
123,000670.KS,영풍
124,007310.KS,오뚜기
125,271560.KS,오리온
126,001800.KS,오리온홀딩스
127,316140.KS,우리금융지주
128,000100.KS,유한양행
129,139480.KS,이마트
130,020150.KS,일진머티리얼즈
131,030000.KS,제일기획
132,185750.KS,종근당
133,013890.KS,지누스
134,035720.KS,카카오
135,323410.KS,카카오뱅크
136,377300.KS,카카오페이
137,192820.KS,코스맥스
138,120110.KS,코오롱인더
139,021240.KS,코웨이
140,192400.KS,쿠쿠홀딩스
141,284740.KS,쿠쿠홈시스
142,259960.KS,크래프톤
143,039490.KS,키움증권
144,003240.KS,태광산업
145,028670.KS,팬오션
146,047050.KS,포스코인터내셔널
147,003670.KS,포스코케미칼
148,103140.KS,풍산
149,086790.KS,하나금융지주
150,352820.KS,하이브
151,000080.KS,하이트진로
152,036460.KS,한국가스공사
153,071050.KS,한국금융지주
154,000240.KS,한국앤컴퍼니
155,015760.KS,한국전력
156,009540.KS,한국조선해양
157,161890.KS,한국콜마
158,161390.KS,한국타이어앤테크놀로지
159,047810.KS,한국항공우주
160,008930.KS,한미사이언스
161,128940.KS,한미약품
162,009240.KS,한샘
163,020000.KS,한섬
164,105630.KS,한세실업
165,014680.KS,한솔케미칼
166,018880.KS,한온시스템
167,009420.KS,한올바이오파마
168,051600.KS,한전KPS
169,052690.KS,한전기술
170,180640.KS,한진칼
171,000880.KS,한화
172,088350.KS,한화생명
173,009830.KS,한화솔루션
174,272210.KS,한화시스템
175,012450.KS,한화에어로스페이스
176,000720.KS,현대건설
177,005440.KS,현대그린푸드
178,086280.KS,현대글로비스
179,042670.KS,현대두산인프라코어
180,064350.KS,현대로템
181,012330.KS,현대모비스
182,010620.KS,현대미포조선
183,069960.KS,현대백화점
184,017800.KS,현대엘리베이
185,011210.KS,현대위아
186,004020.KS,현대제철
187,329180.KS,현대중공업
188,267250.KS,현대중공업지주
189,005380.KS,현대차
190,001450.KS,현대해상
191,057050.KS,현대홈쇼핑
192,008770.KS,호텔신라
193,241590.KS,화승엔터프라이즈
194,004800.KS,효성
195,298050.KS,효성첨단소재
196,298020.KS,효성티앤씨
197,093370.KS,후성
198,081660.KS,휠라홀딩스
199,069260.KS,휴켐스
