,date,open,time,high,low,close,volume
0,20211230.153,43050,153000,43050,43050,43050,137
1,20211230.1519,42600,151900,43050,42600,43050,126
2,20211230.15,42450,150000,42450,42450,42450,25
3,20211230.1457,42500,145700,42500,42500,42500,1
4,20211230.1449,42500,144900,42500,42500,42500,2
5,20211230.1415,42450,141500,42450,42450,42450,2
6,20211230.1348,42700,134800,42700,42700,42700,1
7,20211230.1344,42500,134400,42500,42300,42300,261
8,20211230.1328,42600,132800,42600,42600,42600,9
9,20211230.1327,42600,132700,42600,42600,42600,11
10,20211230.1254,42550,125400,42550,42550,42550,5
11,20211230.1248,42500,124800,42500,42500,42500,1
12,20211230.1244,42500,124400,42500,42500,42500,2
13,20211230.1243,42550,124300,42550,42500,42500,4
14,20211230.1238,42550,123800,42550,42550,42550,20
15,20211230.1201,42700,120100,42700,42700,42700,27
16,20211230.114,42700,114000,42700,42700,42700,10
17,20211230.1139,42550,113900,42550,42550,42550,22
18,20211230.1138,42500,113800,42500,42500,42500,1
19,20211230.1137,42550,113700,42550,42550,42550,2
20,20211230.1132,42550,113200,42550,42550,42550,12
21,20211230.113,42600,113000,42600,42600,42600,2
22,20211230.1127,42550,112700,42550,42550,42550,12
23,20211230.1114,42600,111400,42600,42550,42550,2
24,20211230.1113,42650,111300,42650,42650,42650,1
25,20211230.1109,42650,110900,42650,42650,42650,1
26,20211230.1108,42600,110800,42600,42600,42600,1
27,20211230.1105,42550,110500,42700,42550,42700,9
28,20211230.1102,42550,110200,42550,42550,42550,1
29,20211230.1052,42550,105200,42550,42550,42550,1
30,20211230.105,42550,105000,42550,42550,42550,1
31,20211230.1039,42550,103900,42550,42550,42550,1
32,20211230.1036,42500,103600,42500,42500,42500,10
33,20211230.1035,42450,103500,42450,42450,42450,1
34,20211230.1034,42450,103400,42450,42450,42450,1
35,20211230.1033,42600,103300,42600,42450,42450,97
36,20211230.1032,42600,103200,42600,42600,42600,5
37,20211230.1028,42600,102800,42600,42550,42550,119
38,20211230.1027,42700,102700,42700,42650,42650,23
39,20211230.1023,42750,102300,42750,42750,42750,28
40,20211230.1021,42800,102100,42800,42750,42750,25
41,20211230.1012,42800,101200,42800,42800,42800,10
42,20211230.101,42750,101000,42750,42750,42750,2
43,20211230.1009,42800,100900,42800,42800,42800,1
44,20211230.1008,42950,100800,42950,42800,42800,125
45,20211230.1005,43000,100500,43000,43000,43000,13
46,20211230.1004,43150,100400,43150,43050,43050,12
47,20211230.0951,43150,95100,43150,43150,43150,5
48,20211230.0942,43200,94200,43200,43200,43200,1
49,20211230.0939,43200,93900,43200,43200,43200,1
50,20211230.0935,43100,93500,43100,43100,43100,2
51,20211230.093,43400,93000,43400,43400,43400,1
52,20211230.0927,43100,92700,43100,43050,43100,12
53,20211230.0926,43100,92600,43100,43100,43100,3
54,20211230.0925,43150,92500,43150,43150,43150,1
55,20211230.0923,42800,92300,42800,42800,42800,5
56,20211230.0922,43050,92200,43050,42750,42800,18
57,20211230.0921,43100,92100,43100,43100,43100,4
58,20211230.092,43200,92000,43200,43150,43150,20
59,20211230.0916,43500,91600,43500,43500,43500,5
60,20211230.09,43750,90000,43750,43550,43550,34
61,20211229.153,43550,153000,43550,43550,43550,154
62,20211229.1519,43650,151900,43650,43650,43650,4
63,20211229.1517,43700,151700,43800,43700,43800,42
64,20211229.1513,43800,151300,43800,43800,43800,10
65,20211229.151,43700,151000,43700,43700,43700,40
66,20211229.15,43800,150000,43800,43700,43700,201
67,20211229.1459,43850,145900,43850,43850,43850,1
68,20211229.1445,43850,144500,43850,43850,43850,100
69,20211229.1441,43900,144100,43900,43850,43850,77
70,20211229.1418,43900,141800,43900,43900,43900,2
71,20211229.1402,43950,140200,43950,43950,43950,5
72,20211229.1357,43900,135700,43900,43900,43900,1
73,20211229.1347,43900,134700,43900,43900,43900,23
74,20211229.1334,43900,133400,43900,43900,43900,1
75,20211229.1327,43900,132700,43900,43900,43900,1
76,20211229.1238,43750,123800,43750,43750,43750,1
77,20211229.1236,43750,123600,43750,43750,43750,1
78,20211229.1234,43750,123400,43750,43750,43750,8
79,20211229.1232,43850,123200,43850,43850,43850,1
80,20211229.1223,43800,122300,43800,43800,43800,1
81,20211229.122,43800,122000,43800,43800,43800,1
82,20211229.1152,43750,115200,43750,43750,43750,10
83,20211229.1146,43700,114600,43700,43700,43700,10
84,20211229.1143,43800,114300,43800,43700,43700,300
85,20211229.1141,43850,114100,43850,43850,43850,11
86,20211229.114,43900,114000,43900,43900,43900,1
87,20211229.1139,43900,113900,43900,43900,43900,3
88,20211229.1138,43900,113800,43900,43900,43900,10
89,20211229.1136,43900,113600,43900,43900,43900,10
90,20211229.1133,43900,113300,43900,43900,43900,12
91,20211229.1119,43900,111900,43900,43900,43900,11
92,20211229.1114,43950,111400,43950,43950,43950,1
93,20211229.1101,43950,110100,43950,43800,43800,46
94,20211229.1049,43900,104900,43900,43800,43800,3
95,20211229.1045,43950,104500,43950,43950,43950,2
96,20211229.1044,43950,104400,43950,43950,43950,2
97,20211229.1039,43950,103900,43950,43950,43950,1
98,20211229.1036,43950,103600,43950,43950,43950,1
99,20211229.1032,43950,103200,43950,43950,43950,1
100,20211229.1024,43950,102400,43950,43950,43950,1
101,20211229.1023,43950,102300,43950,43950,43950,1
102,20211229.1021,43850,102100,43850,43850,43850,4
103,20211229.1016,43950,101600,43950,43950,43950,1
104,20211229.1008,43850,100800,43850,43850,43850,1
105,20211229.1005,43850,100500,43850,43850,43850,1
106,20211229.1003,43850,100300,43850,43850,43850,1
107,20211229.1001,43850,100100,43850,43850,43850,7
108,20211229.0958,43900,95800,43900,43900,43900,1
109,20211229.0955,43850,95500,43850,43850,43850,1
110,20211229.0953,43850,95300,43850,43850,43850,5
111,20211229.0951,43800,95100,43800,43800,43800,15
112,20211229.0946,43800,94600,43800,43800,43800,1
113,20211229.0945,43800,94500,43800,43800,43800,50
114,20211229.0943,44000,94300,44000,44000,44000,3
115,20211229.0942,44000,94200,44000,44000,44000,11
116,20211229.0939,44100,93900,44100,44000,44000,43
117,20211229.0938,44050,93800,44100,44050,44100,21
118,20211229.0937,44000,93700,44000,44000,44000,36
119,20211229.0936,43800,93600,43800,43800,43800,9
120,20211229.0935,43800,93500,43800,43800,43800,1
121,20211229.0933,43800,93300,43800,43800,43800,13
122,20211229.0932,43800,93200,43800,43800,43800,1
123,20211229.0929,43750,92900,43750,43750,43750,3
124,20211229.0928,43800,92800,43800,43800,43800,11
125,20211229.0926,43950,92600,43950,43800,43800,88
126,20211229.0924,43950,92400,43950,43950,43950,1
127,20211229.0923,44000,92300,44000,44000,44000,9
128,20211229.0922,44050,92200,44050,44000,44000,10
129,20211229.0921,44000,92100,44000,44000,44000,34
130,20211229.092,44000,92000,44000,43200,43950,55
131,20211229.0919,44300,91900,44300,44000,44000,190
132,20211229.0918,44400,91800,44400,44400,44400,1
133,20211229.0917,44400,91700,44400,44400,44400,5
134,20211229.0916,44500,91600,44500,44500,44500,2
135,20211229.0915,44500,91500,44500,44500,44500,3
136,20211229.0914,44500,91400,44500,44500,44500,2
137,20211229.0913,44500,91300,44500,44500,44500,2
138,20211229.0912,44550,91200,44550,44500,44500,38
139,20211229.091,44650,91000,44650,44600,44600,13
140,20211229.0909,44650,90900,44650,44600,44600,12
141,20211229.0902,45000,90200,45000,44650,44650,2
142,20211229.0901,45350,90100,45350,45350,45350,20
143,20211229.09,45850,90000,45850,45350,45350,5
144,20211228.1535,46000,153500,46000,46000,46000,8
145,20211228.153,46000,153000,46000,46000,46000,311
146,20211228.1519,45000,151900,45400,45000,45400,231
147,20211228.1518,44950,151800,44950,44950,44950,10
148,20211228.1517,44900,151700,44950,44900,44950,311
149,20211228.1516,44700,151600,44850,44700,44850,737
150,20211228.1515,44600,151500,44650,44600,44650,273
151,20211228.1511,44600,151100,44600,44600,44600,5
152,20211228.1507,44600,150700,44600,44600,44600,1
153,20211228.1505,44600,150500,44600,44600,44600,1
154,20211228.1504,44600,150400,44600,44600,44600,1
155,20211228.1502,44600,150200,44600,44600,44600,5
156,20211228.1447,44550,144700,44550,44550,44550,1
157,20211228.1446,44550,144600,44550,44550,44550,11
158,20211228.1442,44550,144200,44550,44550,44550,8
159,20211228.144,44550,144000,44550,44550,44550,6
160,20211228.1439,44550,143900,44550,44550,44550,17
161,20211228.1438,44500,143800,44500,44500,44500,33
162,20211228.1431,44450,143100,44450,44450,44450,1
163,20211228.1425,44450,142500,44450,44450,44450,4
164,20211228.1407,44450,140700,44450,44450,44450,1
165,20211228.1404,44500,140400,44500,44500,44500,1
166,20211228.1403,44300,140300,44300,44250,44250,24
167,20211228.1401,44500,140100,44500,44500,44500,1
168,20211228.1356,44350,135600,44500,44350,44500,4
169,20211228.1352,44500,135200,44500,44500,44500,1
170,20211228.1351,44350,135100,44350,44250,44250,101
171,20211228.1339,44500,133900,44500,44500,44500,1
172,20211228.1328,44500,132800,44500,44500,44500,5
173,20211228.1327,44350,132700,44350,44350,44350,10
174,20211228.1326,44400,132600,44500,44400,44500,25
175,20211228.1321,44250,132100,44250,44250,44250,27
176,20211228.132,44300,132000,44300,44250,44250,73
177,20211228.1308,44500,130800,44500,44500,44500,1
178,20211228.1303,44450,130300,44450,44450,44450,50
179,20211228.1302,44300,130200,44400,44300,44400,15
180,20211228.1232,44050,123200,44050,44050,44050,2
181,20211228.1231,44150,123100,44150,44050,44050,5
182,20211228.1213,44050,121300,44050,44000,44000,100
183,20211228.1212,44250,121200,44250,44000,44000,400
184,20211228.121,44500,121000,44500,44200,44200,266
185,20211228.1207,44500,120700,44500,44500,44500,24
186,20211228.1153,44550,115300,44550,44550,44550,5
187,20211228.115,44550,115000,44550,44550,44550,9
