,date,time,open,high,low,close,volume
0,20220103,103600,21300,21300,21300,21300,611
1,20220103,103500,21250,21250,21250,21250,25
2,20220103,103400,21250,21300,21250,21300,711
3,20220103,103300,21300,21300,21250,21300,132
4,20220103,103200,21250,21300,21250,21300,78
5,20220103,103100,21250,21250,21250,21250,153
6,20220103,103000,21250,21300,21250,21250,408
7,20220103,102900,21200,21250,21200,21250,421
8,20220103,102800,21150,21200,21150,21200,53
9,20220103,102700,21200,21200,21200,21200,3
10,20220103,102600,21200,21200,21200,21200,64
11,20220103,102500,21200,21200,21200,21200,183
12,20220103,102400,21200,21200,21200,21200,175
13,20220103,102300,21150,21150,21150,21150,101
14,20220103,102200,21150,21150,21150,21150,134
15,20220103,102100,21150,21150,21150,21150,10
16,20220103,102000,21150,21150,21150,21150,2
17,20220103,101900,21200,21200,21050,21050,1371
18,20220103,101800,21200,21200,21200,21200,25
19,20220103,101700,21150,21200,21150,21200,10
20,20220103,101600,21100,21100,21100,21100,50
21,20220103,101500,21150,21150,21100,21100,7
22,20220103,101400,21100,21100,21100,21100,83
23,20220103,101300,21100,21100,21050,21100,1032
24,20220103,101200,21100,21100,21100,21100,32
25,20220103,101100,21100,21100,21100,21100,15
26,20220103,101000,21150,21250,21100,21100,4878
27,20220103,100900,21200,21200,21200,21200,200
28,20220103,100800,21250,21250,21100,21100,2404
29,20220103,100700,21200,21250,21200,21250,738
30,20220103,100600,21200,21250,21200,21200,334
31,20220103,100500,21200,21200,21200,21200,5
32,20220103,100400,21150,21150,21150,21150,29
33,20220103,100300,21100,21100,21100,21100,167
34,20220103,100200,21150,21150,21100,21100,1300
35,20220103,100100,21150,21150,21050,21050,29
36,20220103,100000,21050,21150,21050,21150,4231
37,20211230,153500,21050,21050,21050,21050,581
38,20211230,153000,21050,21050,21050,21050,432
39,20211230,151900,21000,21000,21000,21000,54
40,20211230,151800,21000,21000,21000,21000,300
41,20211230,151700,21050,21050,21050,21050,1
42,20211230,151600,21050,21050,21000,21000,68
43,20211230,151500,21050,21050,21050,21050,1
44,20211230,151400,21000,21050,21000,21050,25
45,20211230,151200,21050,21050,21050,21050,63
46,20211230,151000,21050,21050,21000,21000,152
47,20211230,150800,21000,21050,21000,21000,119
48,20211230,150700,21000,21000,21000,21000,172
49,20211230,150600,21000,21000,21000,21000,50
50,20211230,150500,20950,20950,20950,20950,2
51,20211230,150400,21000,21000,21000,21000,50
52,20211230,150300,21000,21000,21000,21000,913
53,20211230,150200,21000,21000,21000,21000,2
54,20211230,150100,21000,21000,21000,21000,150
55,20211230,150000,21050,21050,21050,21050,10
56,20211230,145900,21050,21050,21000,21000,4
57,20211230,145700,21050,21050,21050,21050,1
58,20211230,145600,21000,21050,21000,21050,199
59,20211230,145300,21050,21050,21050,21050,300
60,20211230,145000,21050,21050,21050,21050,4
61,20211230,144900,21050,21050,21050,21050,1
62,20211230,144800,21050,21050,21050,21050,1885
63,20211230,144700,21050,21050,21050,21050,464
64,20211230,144600,21050,21050,21050,21050,20
65,20211230,144400,21100,21100,21050,21050,276
66,20211230,144300,21050,21050,21050,21050,122
67,20211230,144200,21050,21050,21050,21050,20
68,20211230,143800,21100,21100,21100,21100,1
69,20211230,143600,21100,21100,21100,21100,490
70,20211230,143500,21000,21100,21000,21100,963
71,20211230,143400,21050,21050,21050,21050,102
72,20211230,143200,21050,21050,21050,21050,10
73,20211230,143100,21050,21050,21000,21000,340
74,20211230,143000,21000,21000,21000,21000,10
75,20211230,142900,21000,21000,21000,21000,50
76,20211230,142800,21000,21000,21000,21000,50
77,20211230,142700,21000,21000,21000,21000,10
78,20211230,142500,21000,21050,21000,21050,14
79,20211230,142300,21000,21000,21000,21000,12
80,20211230,141900,21000,21050,20900,20900,547
81,20211230,141800,21000,21000,21000,21000,50
82,20211230,141500,20950,20950,20950,20950,3
83,20211230,141100,21000,21000,20950,20950,50
84,20211230,140900,21000,21000,21000,21000,1
85,20211230,140200,21000,21000,21000,21000,946
86,20211230,140100,21000,21000,21000,21000,200
87,20211230,135900,20950,21000,20950,21000,861
88,20211230,135200,20900,20950,20900,20950,261
89,20211230,135100,20850,20850,20850,20850,140
90,20211230,134800,20900,20900,20900,20900,113
91,20211230,134700,20900,20900,20900,20900,35
92,20211230,134300,20900,20900,20900,20900,10
93,20211230,134200,20900,20900,20900,20900,10
94,20211230,134100,20900,20900,20900,20900,130
95,20211230,134000,20950,20950,20900,20900,146
96,20211230,133900,20950,20950,20950,20950,100
97,20211230,133200,20950,20950,20950,20950,80
98,20211230,132600,20950,20950,20950,20950,59
99,20211230,132200,20950,20950,20950,20950,10
100,20211230,131200,20900,20900,20900,20900,41
101,20211230,131100,20900,20900,20900,20900,45
102,20211230,131000,20950,20950,20950,20950,2
103,20211230,130900,20950,20950,20950,20950,50
104,20211230,130700,20950,20950,20950,20950,3
105,20211230,130400,20900,20900,20900,20900,8
106,20211230,130300,20900,20900,20900,20900,125
107,20211230,125400,20900,20900,20900,20900,10
108,20211230,125000,20900,20900,20900,20900,2
109,20211230,124900,20900,20900,20900,20900,72
110,20211230,124800,20850,20850,20850,20850,41
111,20211230,124400,20850,20850,20850,20850,40
112,20211230,124200,20850,20850,20850,20850,10
113,20211230,124100,20850,20850,20850,20850,1
114,20211230,124000,20850,20850,20850,20850,256
115,20211230,123800,20850,20850,20850,20850,88
116,20211230,123700,20850,20850,20850,20850,143
117,20211230,123600,20800,20850,20800,20850,50
118,20211230,123500,20800,20800,20800,20800,25
119,20211230,123300,20800,20800,20800,20800,2
120,20211230,123200,20800,20800,20750,20750,11
121,20211230,123100,20800,20800,20800,20800,17
122,20211230,123000,20800,20800,20800,20800,1
123,20211230,122400,20800,20850,20800,20850,71
124,20211230,122300,20800,20800,20800,20800,1
125,20211230,122000,20750,20750,20750,20750,70
126,20211230,121900,20800,20800,20750,20750,666
127,20211230,121700,20800,20800,20800,20800,20
128,20211230,121600,20800,20800,20800,20800,11
129,20211230,121500,20800,20800,20800,20800,60
130,20211230,121200,20800,20800,20800,20800,20
131,20211230,121100,20800,20800,20800,20800,40
132,20211230,120800,20800,20800,20800,20800,120
133,20211230,120700,20850,20850,20800,20800,5
134,20211230,120300,20850,20900,20850,20900,128
135,20211230,120200,20850,20850,20850,20850,53
136,20211230,120100,20800,20800,20800,20800,5
137,20211230,120000,20800,20800,20800,20800,175
138,20211230,115900,20850,20850,20850,20850,3
139,20211230,115400,20850,20850,20850,20850,260
140,20211230,115200,20850,20850,20850,20850,20
141,20211230,115100,20850,20850,20850,20850,110
142,20211230,114800,20900,20900,20900,20900,1
143,20211230,114500,20900,20900,20900,20900,50
144,20211230,114400,20900,20900,20900,20900,50
145,20211230,114100,20850,20900,20850,20900,52
146,20211230,113800,20900,20900,20900,20900,46
147,20211230,113700,20900,20900,20900,20900,13
148,20211230,113300,20850,20850,20850,20850,5
149,20211230,113000,20900,20900,20900,20900,1
150,20211230,112700,20850,20900,20850,20900,54
151,20211230,112500,20900,20900,20900,20900,5
152,20211230,112400,20850,20850,20850,20850,10
153,20211230,112100,20850,20850,20850,20850,181
154,20211230,112000,20850,20850,20850,20850,1144
155,20211230,111900,20850,20850,20850,20850,1
156,20211230,111800,20900,20900,20900,20900,34
157,20211230,111400,20900,20900,20900,20900,527
158,20211230,110400,20900,20900,20900,20900,20
159,20211230,110300,20900,20900,20900,20900,76
160,20211230,110200,20900,20900,20900,20900,50
161,20211230,105700,20900,20900,20900,20900,10
162,20211230,105600,20900,20900,20900,20900,8
163,20211230,105500,20950,20950,20950,20950,7
164,20211230,105200,20950,20950,20950,20950,100
165,20211230,104700,21000,21000,21000,21000,1259
166,20211230,104500,21000,21000,21000,21000,7
167,20211230,104400,21050,21050,21050,21050,5
168,20211230,104300,21050,21050,21050,21050,1
169,20211230,104200,21050,21050,21050,21050,5
170,20211230,103900,21000,21050,21000,21050,2
171,20211230,103800,21000,21000,21000,21000,40
172,20211230,103700,21000,21000,21000,21000,98
173,20211230,103400,21000,21000,21000,21000,20
174,20211230,103100,21000,21000,21000,21000,50
175,20211230,103000,21050,21050,21050,21050,818
176,20211230,102900,21100,21100,21100,21100,46
177,20211230,102200,21100,21100,21100,21100,102
178,20211230,102000,21100,21100,21100,21100,11
179,20211230,101800,21100,21100,21050,21050,51
180,20211230,101700,21100,21100,21100,21100,100
181,20211230,101600,21050,21050,21050,21050,211
182,20211230,101500,21000,21050,21000,21050,200
183,20211230,101100,21000,21000,21000,21000,118
184,20211230,100900,21000,21000,21000,21000,1
185,20211230,100800,20950,20950,20950,20950,118
186,20211230,100700,20950,20950,20950,20950,23
187,20211230,100500,20950,20950,20950,20950,49
188,20211230,100200,20900,20950,20900,20950,140
189,20211230,100100,20850,20850,20850,20850,4
190,20211230,100000,20800,20800,20800,20800,2
191,20211230,95900,20850,20850,20850,20850,2
192,20211230,95800,20850,20850,20850,20850,14
193,20211230,95700,20850,20850,20850,20850,19
194,20211230,95600,20900,20900,20900,20900,43
195,20211230,95500,20950,20950,20900,20900,55
196,20211230,95400,20900,20900,20900,20900,50
197,20211230,95300,20900,20900,20900,20900,30
198,20211230,95200,20900,20900,20900,20900,8
199,20211230,95100,20900,20900,20900,20900,10
200,20211230,95000,20850,20850,20850,20850,47
201,20211230,94900,20800,20850,20750,20850,74
202,20211230,94700,20750,20750,20750,20750,10
203,20211230,94600,20750,20750,20750,20750,7
204,20211230,94500,20750,20750,20750,20750,30
205,20211230,94400,20750,20750,20750,20750,63
206,20211230,94300,20750,20750,20750,20750,161
207,20211230,94200,20750,20750,20750,20750,25
208,20211230,94100,20850,20850,20750,20750,50
209,20211230,93600,20800,20900,20800,20850,12
210,20211230,93500,20800,20800,20800,20800,67
211,20211230,93300,20800,20800,20800,20800,21
212,20211230,93200,20850,20850,20750,20750,532
213,20211230,93100,20900,20900,20900,20900,20
214,20211230,93000,20950,20950,20950,20950,5
215,20211230,92900,20900,20950,20900,20950,173
216,20211230,92800,20850,20950,20850,20950,160
217,20211230,92600,20850,20850,20850,20850,50
218,20211230,92500,20750,20800,20750,20800,4
219,20211230,92400,20750,20750,20750,20750,1
220,20211230,92300,20750,20750,20750,20750,13
221,20211230,92200,20850,20850,20800,20800,413
222,20211230,92100,20900,20900,20850,20850,347
223,20211230,92000,20900,20900,20900,20900,211
