,date,time,open,high,low,close,volume
0,20211230,153000,73400,73400,73400,73400,1
1,20211230,150000,73000,73000,73000,73000,13
2,20211230,143000,73400,73400,73400,73400,54
3,20211230,140000,73400,73400,73400,73400,30
4,20211230,133000,73400,73400,73400,73400,30
5,20211230,130000,73400,73400,73400,73400,36
6,20211230,123000,73400,73400,73400,73400,30
7,20211230,120000,72700,72700,72700,72700,100
8,20211230,113000,73500,73500,73500,73500,1
9,20211230,110000,73000,73000,73000,73000,3
10,20211230,103000,73000,73000,73000,73000,84
11,20211230,100000,73000,73000,73000,73000,116
12,20211230,93000,73000,73000,73000,73000,23
13,20211230,90000,73000,73000,73000,73000,89
14,20211229,153000,73500,73500,73500,73500,39
15,20211229,150000,73500,73500,73500,73500,27
16,20211229,143000,73700,73700,73700,73700,10
17,20211229,140000,74600,74600,74600,74600,7
18,20211229,133000,74000,74000,74000,74000,54
19,20211229,123000,74800,74800,74800,74800,10
20,20211229,120000,74000,74000,74000,74000,8
21,20211229,113000,73500,73500,73500,73500,6
22,20211229,103000,73500,73500,73500,73500,100
23,20211229,100000,73500,73500,73500,73500,3
24,20211229,93000,73500,73500,73500,73500,78
25,20211228,150000,73500,73500,73500,73500,35
26,20211228,143000,73300,73300,73300,73300,7
27,20211228,140000,73300,73300,73300,73300,27
28,20211228,133000,73300,73300,73300,73300,15
29,20211228,130000,73000,73000,73000,73000,10
30,20211228,123000,72800,72800,72800,72800,31
31,20211228,113000,72900,72900,72900,72900,12
32,20211228,100000,72800,72800,72800,72800,95
33,20211228,93000,72700,72700,72700,72700,1
34,20211227,153000,72700,72700,72700,72700,11
35,20211227,150000,72800,72800,72800,72800,61
36,20211227,143000,72200,72200,72200,72200,66
37,20211227,140000,72200,72200,72200,72200,44
38,20211227,133000,72300,72300,72300,72300,27
39,20211227,130000,71700,71700,71700,71700,6
40,20211227,123000,71400,71400,71400,71400,5
41,20211227,120000,71300,71300,71300,71300,51
42,20211227,113000,71300,71300,71300,71300,35
43,20211227,110000,71300,71300,71300,71300,39
44,20211227,103000,71300,71300,71300,71300,37
45,20211227,100000,71300,71300,71300,71300,60
46,20211227,93000,71900,71900,71900,71900,15
47,20211224,153500,72300,72300,72300,72300,68
48,20211224,153000,72300,72300,72300,72300,54
49,20211224,150000,72300,72300,72300,72300,32
50,20211224,143000,72000,72000,72000,72000,128
51,20211224,140000,72000,72000,72000,72000,31
52,20211224,133000,71700,71700,71700,71700,1
53,20211224,130000,71200,71200,71200,71200,39
54,20211224,123000,71000,71000,71000,71000,30
55,20211224,120000,70900,70900,70900,70900,2
56,20211224,113000,70900,70900,70900,70900,33
57,20211224,110000,71200,71200,71200,71200,2
58,20211224,103000,70800,70800,70800,70800,2
59,20211224,93000,70600,70600,70600,70600,25
60,20211223,153000,70600,70600,70600,70600,50
61,20211223,150000,70000,70000,70000,70000,1
62,20211223,143000,70000,70000,70000,70000,1
63,20211223,133000,70000,70000,70000,70000,5
64,20211223,130000,70000,70000,70000,70000,27
65,20211223,123000,70000,70000,70000,70000,100
66,20211223,120000,70100,70100,70100,70100,10
67,20211223,110000,71000,71000,71000,71000,5
68,20211223,103000,71000,71000,71000,71000,3
69,20211223,100000,70000,70000,70000,70000,57
70,20211223,93000,70000,70000,70000,70000,4
71,20211222,153000,70000,70000,70000,70000,10
72,20211222,150000,70000,70000,70000,70000,7
73,20211222,143000,69900,69900,69900,69900,14
74,20211222,140000,69900,69900,69900,69900,4
75,20211222,120000,69800,69800,69800,69800,33
76,20211222,113000,69700,69700,69700,69700,18
77,20211222,110000,69300,69300,69300,69300,42
78,20211222,103000,69200,69200,69200,69200,9
79,20211222,100000,69200,69200,69200,69200,108
80,20211222,93000,69200,69200,69200,69200,10
81,20211221,153500,69200,69200,69200,69200,1
82,20211221,153000,69200,69200,69200,69200,107
83,20211221,150000,68600,68600,68600,68600,207
84,20211221,143000,68600,68600,68600,68600,117
85,20211221,140000,68500,68500,68500,68500,63
86,20211221,133000,68200,68200,68200,68200,180
87,20211221,130000,68600,68600,68600,68600,254
88,20211221,123000,69200,69200,69200,69200,58
89,20211221,120000,69900,69900,69900,69900,40
90,20211221,113000,70000,70000,70000,70000,15
91,20211221,110000,70000,70000,70000,70000,11
92,20211221,103000,70000,70000,70000,70000,13
93,20211221,100000,70200,70200,70200,70200,22
94,20211221,93000,70200,70200,70200,70200,6
95,20211220,153000,71400,71400,71400,71400,1
96,20211220,150000,71000,71000,71000,71000,22
97,20211220,143000,71000,71000,71000,71000,20
98,20211220,133000,71000,71000,71000,71000,7
99,20211220,130000,71000,71000,71000,71000,4
100,20211220,123000,71000,71000,71000,71000,7
101,20211220,120000,71000,71000,71000,71000,12
102,20211220,113000,71300,71300,71300,71300,5
103,20211220,110000,71300,71300,71300,71300,10
104,20211220,103000,71300,71300,71300,71300,86
105,20211220,100000,71300,71300,71300,71300,13
106,20211217,153000,71300,71300,71300,71300,5
107,20211217,150000,71200,71200,71200,71200,127
108,20211217,133000,71200,71200,71200,71200,100
109,20211217,130000,71300,71300,71300,71300,8
110,20211217,123000,71200,71200,71200,71200,21
111,20211217,120000,71400,71400,71400,71400,170
112,20211217,113000,71400,71400,71400,71400,212
113,20211217,110000,71500,71500,71500,71500,103
114,20211217,103000,71500,71500,71500,71500,87
115,20211217,100000,71500,71500,71500,71500,40
116,20211217,93000,71400,71400,71400,71400,68
117,20211216,153000,72800,72800,72800,72800,82
118,20211216,150000,73500,73500,73500,73500,75
