,date,time,open,high,low,close,volume
0,20211230,153000,15300,15300,15300,15300,126
1,20211230,150000,15400,15400,15400,15400,155
2,20211230,143000,15450,15450,15450,15450,6
3,20211230,140000,15450,15450,15450,15450,310
4,20211230,130000,15500,15500,15500,15500,5
5,20211230,120000,15550,15550,15550,15550,14
6,20211230,113000,15550,15550,15550,15550,1
7,20211230,103000,15450,15450,15450,15450,102
8,20211230,93000,15700,15700,15700,15700,13
9,20211230,90000,15700,15700,15700,15700,1
10,20211229,153000,15500,15500,15500,15500,22
11,20211229,150000,15500,15500,15500,15500,1
12,20211229,143000,15500,15500,15500,15500,74
13,20211229,103000,15550,15550,15550,15550,74
14,20211229,100000,15550,15550,15550,15550,6
15,20211229,93000,15550,15550,15550,15550,20
16,20211229,90000,15750,15750,15750,15750,1
17,20211228,153000,15750,15750,15750,15750,4
18,20211228,150000,15600,15600,15600,15600,5
19,20211228,140000,15600,15600,15600,15600,11
20,20211228,123000,15550,15550,15550,15550,142
21,20211228,120000,15700,15700,15700,15700,116
22,20211228,113000,15800,15800,15800,15800,9
23,20211228,110000,15800,15800,15800,15800,10
24,20211228,103000,15800,15800,15800,15800,201
25,20211228,100000,15700,15700,15700,15700,1
26,20211228,93000,15800,15800,15800,15800,202
27,20211227,153000,15700,15700,15700,15700,5
28,20211227,150000,15700,15700,15700,15700,1
29,20211227,113000,15700,15700,15700,15700,7
30,20211227,110000,15700,15700,15700,15700,5
31,20211227,93000,15700,15700,15700,15700,45
32,20211227,90000,15800,15800,15800,15800,3
33,20211224,153000,15700,15700,15700,15700,190
34,20211224,150000,15700,15700,15700,15700,39
35,20211224,143000,15750,15750,15750,15750,1
36,20211224,140000,15750,15750,15750,15750,124
37,20211224,130000,15700,15700,15700,15700,28
38,20211224,120000,15700,15700,15700,15700,19
39,20211224,100000,15750,15750,15750,15750,1
40,20211224,90000,15700,15700,15700,15700,1
41,20211223,150000,15700,15700,15700,15700,35
42,20211223,143000,15650,15650,15650,15650,21
43,20211223,140000,15700,15700,15700,15700,36
44,20211223,123000,15700,15700,15700,15700,36
45,20211223,110000,15850,15850,15850,15850,50
46,20211223,103000,15850,15850,15850,15850,16
47,20211223,93000,15900,15900,15900,15900,62
48,20211223,90000,15900,15900,15900,15900,1
49,20211222,153500,15700,15700,15700,15700,1
50,20211222,153000,15700,15700,15700,15700,170
51,20211222,150000,15600,15600,15600,15600,100
52,20211222,143000,15150,15150,15150,15150,444
53,20211222,113000,15900,15900,15900,15900,17
54,20211222,100000,16200,16200,16200,16200,12
55,20211222,93000,16250,16250,16250,16250,1
56,20211222,90000,16250,16250,16250,16250,1
57,20211221,153000,16200,16200,16200,16200,1
58,20211221,113000,16200,16200,16200,16200,1
59,20211221,93000,16200,16200,16200,16200,1
60,20211220,153000,16200,16200,16200,16200,1
61,20211220,140000,15850,15850,15850,15850,10
62,20211220,133000,16200,16200,16200,16200,1
63,20211220,130000,15850,15850,15850,15850,2
64,20211220,123000,15800,15800,15800,15800,1
65,20211220,120000,15800,15800,15800,15800,30
66,20211220,113000,15850,15850,15850,15850,2
67,20211220,110000,15850,15850,15850,15850,3
68,20211220,100000,15850,15850,15850,15850,17
69,20211220,93000,15850,15850,15850,15850,20
70,20211220,90000,15800,15800,15800,15800,100
71,20211217,153000,16200,16200,16200,16200,11
72,20211217,143000,16200,16200,16200,16200,39
73,20211217,140000,16250,16250,16250,16250,1481
74,20211217,110000,16250,16250,16250,16250,17
75,20211217,93000,16250,16250,16250,16250,2
76,20211216,153000,16050,16050,16050,16050,1
77,20211216,140000,16100,16100,16100,16100,220
78,20211216,133000,16000,16000,16000,16000,60
79,20211216,130000,16050,16050,16050,16050,13
80,20211216,110000,16100,16100,16100,16100,50
81,20211216,100000,16100,16100,16100,16100,10
82,20211216,93000,16100,16100,16100,16100,1
83,20211216,90000,16100,16100,16100,16100,1
84,20211215,153000,15950,15950,15950,15950,1
85,20211215,100000,15900,15900,15900,15900,4
86,20211215,90000,16150,16150,16150,16150,1
87,20211214,153000,16100,16100,16100,16100,1
88,20211214,150000,16100,16100,16100,16100,1
89,20211214,143000,15900,15900,15900,15900,123
90,20211214,140000,15900,15900,15900,15900,5
91,20211214,130000,15900,15900,15900,15900,28
92,20211214,123000,15900,15900,15900,15900,1
93,20211214,120000,16000,16000,16000,16000,106
94,20211214,93000,16300,16300,16300,16300,4
95,20211213,130000,16300,16300,16300,16300,14
96,20211213,123000,16350,16350,16350,16350,1
97,20211213,113000,16300,16300,16300,16300,38
98,20211213,103000,16300,16300,16300,16300,7
99,20211213,100000,16300,16300,16300,16300,31
100,20211213,93000,16450,16450,16450,16450,6
101,20211213,90000,16350,16350,16350,16350,1
102,20211210,153000,16300,16300,16300,16300,101
103,20211210,150000,16300,16300,16300,16300,246
104,20211210,143000,16000,16000,16000,16000,6
105,20211210,140000,16300,16300,16300,16300,243
106,20211210,133000,16300,16300,16300,16300,20
107,20211210,130000,16000,16000,16000,16000,40
108,20211210,123000,16300,16300,16300,16300,10
109,20211210,120000,16300,16300,16300,16300,12
110,20211210,113000,16100,16100,16100,16100,205
111,20211210,110000,15900,15900,15900,15900,156
112,20211210,103000,15850,15850,15850,15850,130
113,20211210,100000,15750,15750,15750,15750,200
114,20211210,93000,15800,15800,15800,15800,1
115,20211210,90000,15900,15900,15900,15900,1
116,20211209,153000,15700,15700,15700,15700,5
117,20211209,150000,15400,15400,15400,15400,168
118,20211209,130000,15500,15500,15500,15500,3
119,20211209,123000,15700,15700,15700,15700,1
120,20211209,110000,15800,15800,15800,15800,1
121,20211209,100000,15500,15500,15500,15500,1
122,20211209,93000,15650,15650,15650,15650,1
123,20211208,153000,15450,15450,15450,15450,7
124,20211208,150000,15450,15450,15450,15450,6
125,20211208,143000,15450,15450,15450,15450,113
126,20211208,140000,15500,15500,15500,15500,157
127,20211208,130000,15500,15500,15500,15500,702
128,20211208,120000,15600,15600,15600,15600,240
129,20211208,113000,15650,15650,15650,15650,8
130,20211208,110000,15650,15650,15650,15650,19
131,20211208,93000,15950,15950,15950,15950,1
132,20211208,90000,15950,15950,15950,15950,1
133,20211207,153000,15850,15850,15850,15850,100
134,20211207,150000,15750,15750,15750,15750,5
135,20211207,140000,15500,15500,15500,15500,9
136,20211207,113000,15700,15700,15700,15700,25
137,20211207,103000,15750,15750,15750,15750,1
138,20211207,100000,15750,15750,15750,15750,51
139,20211207,93000,15750,15750,15750,15750,2
140,20211207,90000,15800,15800,15800,15800,13
141,20211206,153000,15250,15250,15250,15250,41
142,20211206,150000,15200,15200,15200,15200,229
143,20211206,143000,15500,15500,15500,15500,1
144,20211206,130000,15350,15350,15350,15350,29
145,20211206,123000,15300,15300,15300,15300,1
146,20211206,113000,15300,15300,15300,15300,102
147,20211206,110000,15300,15300,15300,15300,55
148,20211206,103000,15300,15300,15300,15300,5
149,20211206,100000,15300,15300,15300,15300,47
150,20211206,93000,15500,15500,15500,15500,1
151,20211203,153000,15500,15500,15500,15500,120
152,20211203,150000,15450,15450,15450,15450,12
153,20211203,143000,15350,15350,15350,15350,10
154,20211203,140000,15300,15300,15300,15300,7
155,20211203,133000,15300,15300,15300,15300,5
156,20211203,130000,15250,15250,15250,15250,3
157,20211203,123000,15250,15250,15250,15250,20
158,20211203,120000,15200,15200,15200,15200,1
159,20211203,110000,15200,15200,15200,15200,1
160,20211203,103000,15200,15200,15200,15200,198
161,20211203,100000,15200,15200,15200,15200,152
162,20211203,93000,15200,15200,15200,15200,1
163,20211203,90000,14800,14800,14800,14800,14
164,20211202,153000,15150,15150,15150,15150,2
165,20211202,130000,14750,14750,14750,14750,8
166,20211202,123000,14750,14750,14750,14750,3
167,20211202,113000,14750,14750,14750,14750,341
168,20211202,110000,14700,14700,14700,14700,2
169,20211202,103000,14700,14700,14700,14700,1
